word,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,count
the,0.9019955506119091,0.9019668792602972,0.9030790060084191,0.8894977741894987,0.913219255997046,0.9127304879228031,0.9069534553739178,0.9061605212956199,0.9058281662654827,0.9074134377525191,50720000000.0
and,0.8657590270626031,0.8639800539626119,0.8650738309459635,0.8582835933549849,0.8914454135157251,0.8969802701442556,0.8939803366098402,0.8923228207087458,0.893600531031059,0.8960583123836318,58680000000.0
to,0.8574142590523294,0.8574221415416738,0.8581542403182314,0.8471833061630223,0.8783437829785734,0.8801447876012555,0.8731764203867051,0.8714401142973036,0.8731456037550157,0.8752695508689697,65320000000.0
of,0.8356321094549258,0.8360701834539206,0.8390014488430468,0.8261782934749364,0.8584709959120895,0.8615413222671123,0.8574092683179498,0.8556405985035896,0.8570152851839263,0.859310793253306,57230000000.0
a,0.8276185454474541,0.8297604536617342,0.8323852203418907,0.8207791066779161,0.8509475587142615,0.8485062435320796,0.840887943550192,0.8409954389865866,0.8446498907410687,0.8481099477508787,70710000000.0
in,0.7982978250370353,0.8017576988640266,0.8051954929250706,0.7970922358368125,0.825714683218873,0.8313365416204522,0.8271377695435852,0.8265340799408819,0.8315600987240918,0.8351174868875032,64080000000.0
for,0.7413668698331073,0.7415052667749591,0.7412527656044946,0.731823833351855,0.7680629245014103,0.7797916730498106,0.7772491741617567,0.7736399143506434,0.7787639131540637,0.7836599707782486,52740000000.0
is,0.6810137743775418,0.6804501952330172,0.683416288823896,0.6810165311402752,0.729195582550643,0.734039330693909,0.7251355741632182,0.7298446989255226,0.739436239387484,0.7456386092706168,59300000000.0
with,0.64179540519672,0.6467172837195552,0.6442505400981325,0.6380350946185442,0.6850905833211495,0.7002997862513135,0.706176801764947,0.7054390271342862,0.7156977955760035,0.7233341580407495,46140000000.0
on,0.6730348558072315,0.6787903285924579,0.6780632083678991,0.6635813502746689,0.6933894134248787,0.6976530327278858,0.6874714208846325,0.684294031573694,0.6935733651901607,0.6982545639261157,54850000000.0
that,0.5722051029009336,0.5750142637882044,0.5792621328722899,0.5648912655180476,0.614821362272578,0.6134582199556675,0.5969506379749014,0.6004768124115741,0.6152013057893111,0.6245294573383243,37870000000.0
this,0.5797918691303682,0.5803718190999144,0.5825285762802409,0.5756440099064895,0.6206015167657017,0.6131691063424947,0.5978384897231371,0.6012759282409625,0.6101858219392279,0.6179779689039681,34930000000.0
s,0.6239024184693763,0.6359886980794139,0.6344480144732775,0.5982085340556137,0.6119196632288894,0.6029785072916707,0.5890927528991583,0.58739375603088,0.59478150789833,0.6053016863687736,48060000000.0
are,0.5069836858781106,0.5024367431058139,0.5039987027073869,0.49895455562775043,0.5511115242429933,0.5701426803399628,0.56809479935048,0.5758323859289318,0.5891272590095608,0.5967878862904386,47790000000.0
it,0.5434058175746632,0.5442970708408154,0.5471240757930629,0.5382705663974331,0.5972066125588982,0.5867345620819117,0.5635352996753691,0.5637332828972806,0.5770648254859787,0.5842993789413892,55300000000.0
as,0.4921541634808717,0.49622959044577764,0.500884673898174,0.48683795067102453,0.5287866003772582,0.5392967854424854,0.539934300148353,0.5462769655696021,0.5630408204448416,0.5729681030881002,43940000000.0
from,0.5231154409877945,0.5255867399679196,0.5282061362430963,0.5135591955632686,0.5377956769581232,0.5502734303012957,0.5483368592154567,0.5516336753556184,0.5633121143895611,0.5709513218004407,36720000000.0
be,0.5046691368721664,0.5048973335528849,0.506991868990649,0.4938690350838435,0.5394037015164419,0.5472655399794711,0.5391980877169352,0.5432005102352655,0.5573659544753321,0.5643421042886053,37570000000.0
at,0.543116698213321,0.5497079859088984,0.5476972382872627,0.525502337280079,0.5494564148225091,0.5515757531876123,0.5433893301862778,0.540487003140089,0.5477676224228422,0.5523883693279277,36720000000.0
by,0.5253501779590511,0.5263621182994804,0.5282437776649629,0.5134790522310312,0.5229367610762705,0.5351529679541861,0.5299469645150938,0.5317318204909283,0.5419387951517174,0.5481656800939131,44690000000.0
you,0.4740457586519142,0.45479586241998105,0.4523518985394666,0.45272940752569907,0.526196013460215,0.5351916641824365,0.5235155504775585,0.5216637252798737,0.526465183201027,0.52777721944884,43510000000.0
have,0.46339111770696945,0.46002421802701493,0.46135836737758446,0.4528546062449274,0.5072236578832436,0.5082505540525831,0.491705938614946,0.4954868963521366,0.50938967626147,0.5154538832450409,27590000000.0
an,0.4397879040344771,0.4426283643928103,0.4477883232933097,0.4355368456685313,0.46087004615479,0.4793611091831558,0.48353184260696536,0.48670445147681574,0.5014364696294994,0.5131932539101182,44420000000.0
or,0.43898553271371493,0.434232839545739,0.43435467660903965,0.4321236025683866,0.4659652469318603,0.48360952731248796,0.4805611433830973,0.4867810622562925,0.49698126675220644,0.5038306628213651,35530000000.0
can,0.3908446350344969,0.38122022449050397,0.3810647932265055,0.38306398181615586,0.44078457921570935,0.45648008563128345,0.45477424566479796,0.4619945508060547,0.4764231960895105,0.4855888440763852,32970000000.0
all,0.41830523554726,0.4121235625959798,0.4119806998583352,0.39689774958330676,0.44546308979955423,0.4504912547234888,0.4449878627018096,0.44824225255274125,0.4584724613535762,0.462532748862971,39420000000.0
will,0.3898568681151825,0.3934358428993809,0.3921809502129795,0.3779299417210695,0.4123889592126019,0.4286076750754279,0.42744439562684167,0.43241529702008547,0.4476363838114185,0.45653927284496404,35500000000.0
more,0.40424051648907605,0.40715124867969804,0.40578280762924296,0.3898317897506518,0.41270814321755694,0.4224899816569928,0.41917753887576925,0.42088369300879735,0.43290901244083857,0.4411530890998956,39500000000.0
not,0.40395283183142,0.40526253597751694,0.40802047259257335,0.3979638195466293,0.43349962037542533,0.4329966699017118,0.4168714525970747,0.42104462235958845,0.43538901780707784,0.4410309663303006,30610000000.0
your,0.3417769719112118,0.3204924337617379,0.3140445530943309,0.32307721832376235,0.3812644598028769,0.4033521930656075,0.408191796572663,0.4112059670902888,0.41710208963763323,0.42257093776732574,30880000000.0
we,0.3447732177167626,0.3360638388986599,0.3380609257663531,0.33325355129429357,0.38466744941774533,0.4009886734479378,0.40061250325581754,0.4069332811483126,0.4161046337804266,0.41976627448214054,28500000000.0
one,0.36703248599556504,0.369998237114155,0.370290845600173,0.3560555725894672,0.4006978056700617,0.40144009929184676,0.38899963883932703,0.38845096797065876,0.4004483838171837,0.40654292380831025,30780000000.0
but,0.38965138666502436,0.3957239269355449,0.3990616936071461,0.3802695277007426,0.41985827738905385,0.40136073616417944,0.37714838376729726,0.37568456636420916,0.38493256856140207,0.38951129573345017,26320000000.0
if,0.32137309432161815,0.3170321378821344,0.3172811124690114,0.30957309872058214,0.3522933063380999,0.3567260098859462,0.3490653273667195,0.35163416304862916,0.36275101668548876,0.3690249195771147,40250000000.0
their,0.29715689021493297,0.3007434296072249,0.29993814386953377,0.2865704321855112,0.31065820335370714,0.32615233898056184,0.3318652192366983,0.33705363686972617,0.3524009853722102,0.36356754092056826,20580000000.0
they,0.3170055374779939,0.3217520940429767,0.3217190622330069,0.30767118757095296,0.3428894498862558,0.3417187480596158,0.3322889728388587,0.3359036997270022,0.3514486651007625,0.3603264182502005,25110000000.0
up,0.33280704505399983,0.3346084061083839,0.33543643641002285,0.3197588890718733,0.35657088298263695,0.35532459777664616,0.3443733037163312,0.3438120062657154,0.3552585425826213,0.35994146056897974,36570000000.0
was,0.38520906581820064,0.39778093817585375,0.40213420230019437,0.3813167891652506,0.4020150521418053,0.38008140952429637,0.3501758743538031,0.3472467945068875,0.35398217216427047,0.3549754879316085,23870000000.0
which,0.27651575514539206,0.28210893868263226,0.2869912230775156,0.28296342966876403,0.3055749888890168,0.3196740256610849,0.3220191348041592,0.32615054021904294,0.3430849308920258,0.35109865642296406,25740000000.0
when,0.29574657649146613,0.29831691146853434,0.29974555564436134,0.2891599055426563,0.32565065003939425,0.32542457334936936,0.31845994427364577,0.3220512655792458,0.3359058960560179,0.3440676867272318,34420000000.0
